Timestamp,Message
2025-04-28 22:43:39.331647,Function executed successfully for element //input[@ct='CBS'].
2025-04-28 22:43:39.937388,"Element '<selenium.webdriver.remote.webelement.WebElement (session=""592b39e370b5158d50b99a3a523da71c"", element=""f.B00BFE6EA2015019C9459C8D27B0D786.d.3DE1002E5A48F3D5FF2E7DBED8F705E7.e.253"")>' clicked."
2025-04-28 22:43:43.078908,Driver initialized
2025-04-28 22:43:43.106389,"Function executed successfully for element //*[@class=""lsPageHeaderTitle--text-overflow""]."
2025-04-28 22:43:43.137637,Error during automation: EdgeAutomation.dispatcher_log() takes 4 positional arguments but 5 were given
2025-04-28 22:44:05.504592,Edge WebDriver initialized successfully
2025-04-28 22:44:05.508201,Driver initialized
2025-04-28 22:44:08.220228,Driver initialized
2025-04-28 22:44:08.254319,Function executed successfully for element body.
2025-04-28 22:44:08.258433,Browser opened.
2025-04-28 22:44:08.262785,Driver initialized
2025-04-28 22:44:08.295422,Function executed successfully for element iframe.
2025-04-28 22:44:08.322936,Driver initialized
2025-04-28 22:44:08.438244,Function executed successfully for element iFrameId_1745851447808.
2025-04-28 22:44:08.443475,Driver initialized
2025-04-28 22:44:14.464212,"Function executed successfully for element //input[@title=""Available Searches""]."
2025-04-28 22:44:14.468326,Driver initialized
2025-04-28 22:44:14.536661,"Function executed successfully for element //input[@title=""Available Searches""]."
2025-04-28 22:44:19.914925,"Element '//input[@title=""Available Searches""]' clicked."
2025-04-28 22:44:19.921136,Driver initialized
2025-04-28 22:44:19.956996,Function executed successfully for element div.lsListbox__value[data-itemvalue1='TICKET_MNLADMIN'].
2025-04-28 22:44:19.961857,Driver initialized
2025-04-28 22:44:20.034426,Function executed successfully for element div.lsListbox__value[data-itemvalue1='TICKET_MNLADMIN'].
2025-04-28 22:44:20.369874,Element 'div.lsListbox__value[data-itemvalue1='TICKET_MNLADMIN']' clicked.
2025-04-28 22:44:20.675443,Driver initialized
2025-04-28 22:44:20.754689,"Function executed successfully for element //*[@lsdata=""{0:'Search'}""]."
2025-04-28 22:44:20.757843,Driver initialized
2025-04-28 22:44:20.809444,"Function executed successfully for element //*[@lsdata=""{0:'Search'}""]."
2025-04-28 22:44:21.259023,"Element '//*[@lsdata=""{0:'Search'}""]' clicked."
2025-04-28 22:44:21.564556,Driver initialized
2025-04-28 22:44:21.659672,"The element //*[@acf=""Hndl""] is stale."
2025-04-28 22:44:21.664940,Driver initialized
2025-04-28 22:44:21.730156,"Function executed successfully for element //*[@acf=""Hndl""]."
2025-04-28 22:44:21.734607,Driver initialized
2025-04-28 22:44:21.802340,"Function executed successfully for element //*[@acf=""PNext""]."
2025-04-28 22:44:24.295506,Driver initialized
2025-04-28 22:44:24.370052,"Function executed successfully for element //*[@rr=""10""]."
2025-04-28 22:44:25.172779,"Element '//*[@rr=""10""]' clicked."
2025-04-28 22:44:25.177032,Driver initialized
